AREA,LU1885,LU1945,POT_LU,Shape__Area,Shape__Length
188110.250000000000000,Grassland,Grassland,Grassland,301801.359375000000000,3729.346077490315565
140300.937999999994645,Grassland,Irrigated,Grassland,225159.757812500000000,2084.968843333610494
654987.625000000000000,Riparian,Irrigated,Riparian,1051256.382812500000000,7717.068198996908905
264660000.000000000000000,Grassland,Grassland,Grassland,423716292.535156250000000,304467.810551833652426
125889.008000000001630,Grassland,Grassland,Grassland,201978.917968750000000,2087.409852404443427
308377.531000000017229,Grassland,Irrigated,Grassland,494872.417968750000000,3550.369149749412372
301216.093999999982771,Grassland,Irrigated,Grassland,483396.011718750000000,3892.000592059737755
247406.405999999988126,Grassland,Irrigated,Grassland,397042.921875000000000,5339.569148511464846
190634.016000000003260,Riparian,Irrigated,Riparian,305959.449218750000000,2920.424673697520120
120806.827999999994063,Grassland,Irrigated,Grassland,193858.808593750000000,6691.344813084621819
493552.188000000023749,Grassland,Irrigated,Grassland,791890.082031250000000,5959.742639841952041
302506.468999999982771,Grassland,Irrigated,Grassland,485470.523437500000000,2799.235142306636135
258039.953000000008615,Grassland,Irrigated,Grassland,414103.710937500000000,3217.976793822374930
130517.460999999995693,Grassland,Irrigated,Grassland,209455.460937500000000,2000.726039290436347
107976.429999999993015,Grassland,Irrigated,Grassland,173272.023437500000000,1994.301014419798776
329209.656000000017229,Grassland,Irrigated,Grassland,528302.636718750000000,6713.144802544978120
692631.250000000000000,Grassland,Grassland,Grassland,1111245.406250000000000,5048.305362998894452
724502.750000000000000,Grassland,Irrigated,Grassland,1162597.625000000000000,6803.160484292181536
651148.250000000000000,Wetlands,Irrigated,Wetlands,1044828.980468750000000,7969.283123226507996
833019.437999999965541,Grassland,Grassland,Grassland,1336376.312500000000000,7242.159757543067826
2465656.500000000000000,Riparian,Riparian,Riparian,3956388.699218750000000,17690.007924832058052
205710.719000000011874,Grassland,Irrigated,Grassland,330140.042968750000000,4832.963745550811836
2093005.250000000000000,Grassland,Grassland,Grassland,3357339.023437500000000,10174.559843040833584
111664.679999999993015,Grassland,Irrigated,Grassland,179204.277343750000000,2156.790600430757422
160021.500000000000000,Grassland,Grassland,Grassland,256720.273437500000000,2943.881298893439634
968521.625000000000000,Grassland,Irrigated,Grassland,1554130.402343750000000,5619.889126941232462
265122.906000000017229,Riparian,Irrigated,Riparian,425484.601562500000000,3229.044319637950593
305109.000000000000000,Riparian,Riparian,Riparian,489650.039062500000000,3979.655956738824443
161244.358999999996740,Grassland,Grassland,Grassland,258681.496093750000000,1958.165129854057113
165859.733999999996740,Grassland,Grassland,Grassland,266084.761718750000000,3113.850783334995867
1155825.000000000000000,Grassland,Irrigated,Grassland,1854649.109375000000000,17612.491266140539665
742604.750000000000000,Wetlands,Irrigated,Wetlands,1191485.960937500000000,10110.845793479209533
1652441.750000000000000,Grassland,Grassland,Grassland,2650684.054687500000000,9220.157258026634736
940059.187999999965541,Wetlands,Irrigated,Wetlands,1508073.707031250000000,12101.929462402340505
208395.391000000003260,Riparian,Riparian,Riparian,334450.652343750000000,3091.199845487445600
1000874.437999999965541,Grassland,Irrigated,Grassland,1605940.714843750000000,5149.355688586688302
227986.500000000000000,Grassland,Grassland,Grassland,365724.937500000000000,3321.476086267835399
211379.328000000008615,Riparian,Irrigated,Riparian,339221.617187500000000,2426.228262043685390
167842.203000000008615,Wetlands,Irrigated,Wetlands,269310.417968750000000,4656.132139991296754
462115.406000000017229,Grassland,Irrigated,Grassland,741469.726562500000000,4941.800373372195281
554578.625000000000000,Grassland,Irrigated,Grassland,889849.101562500000000,8446.930856108259832
129676.241999999998370,Grassland,Irrigated,Grassland,208086.613281250000000,2277.696927812141894
